year	plotid	plant	corolla_length	style_length	corolla_width	sepal_width	nectar_24_h_ul	nectar_conc	height_cm	flowers_est
2018	1A	225_18								
2018	1A	232	22.68	23.22	3.14		1.171875	26	28.2	83
2018	1A	234					3.90625	21	11.5	15
2018	1A	235_18					4.84375	27		
2018	1A	237_18								
2018	1A	238	20.75	21.35	2.9000000000000004		0.29296875	33	42.4	79
2018	1A	253	26.25	22.6	3.3499999999999996		2.03125	26	27	15
2018	1B	179							39	
2018	1B	564								
2018	1B	655	27.1	24.8	3		2.34375	34	39	70
2018	1B	662_18								
2018	1B	664	23.266666666666666	24.266666666666666	2.466666666666667		0.4166666666666667	34	27.25	29
2018	1B	665								3
2018	1B	668	19.4	14.4	2.1				24.375	
2018	1B	675							26.2	55
2018	1B	678	22.1	21.7	3.4		2.109375	29	30.166666666666668	32
2018	1B	99	17.7	18.8	2.6				32.333333333333336	22
2018	1C	275								4
2018	1C	279								4
2018	1C	29								
2018	1C	50	24.3	24.85	3.35		0.859375	37	39.5	73
2018	1C	61	20.5	22.066666666666666	2.8333333333333335		0.859375	42	19	25
2018	1C	62	21.45	20.3	2.9000000000000004				24.25	
2018	1C	67_18							26	
2018	1D	28_18								
2018	1D	29	26.666666666666664	24.166666666666668	3.0166666666666666		2.265625	26.5	33.75	97
2018	1D	50								
2018	1D	61								
2018	1D	62								
2018	2A	100_18								6
2018	2A	163								
2018	2A	168							15.5	25
2018	2A	171					1.7578125	24.5	39.333333333333336	56
2018	2A	172					2.20703125	29.333333333333332	36	47
2018	2A	189								
2018	2A	275					0.15625			
2018	2B	129	20.1	17.5	3				28	33
2018	2B	171	27.7	27.7	3.1		2.5	27		
2018	2B	172	23.3	22.2	3.2					
2018	2B	195	24.1	22.3	3		3.515625	20	26.5	38
2018	2B	199	29.6	24.6	3.4		2.03125	23.5	29.5	25
2018	2B	87					2.1875	28		
2018	2B	91	18.3	18.4	2.2		1.015625	28	14.125	
2018	2B	94	23.7	22.9	2.8		2.109375	27	30.6	82
2018	2B	98	23.1	26.3	3.5		1.25	31	26.5	49
2018	2C	100	20.925	19.875	3.2		0.78125	30.5	37.5	41
2018	2C	189_18								
2018	2C	200								
2018	2C	206								
2018	2C	212								
2018	2C	218								
2018	2C	226								
2018	2C	238					1.71875	25		
2018	2C	254	25.4	25.6	2.5					
2018	2C	258							27	28
2018	2C	263_18							39	
2018	2C	265	19.85	21.85	2.55		0.53125	42.25	29.666666666666668	89
2018	2C	266	16.2	14.75	2.7				27	18
2018	2C	275	18.5	17.3	2.8				38.4	47
2018	2C	276	21.5	24.7	3.3		1.015625	32	29.375	49
2018	2C	279	21.966666666666665	24.133333333333333	2.3		0.390625	43	44.375	15
2018	2C	281							12	
2018	2C	284	22.3	22.9	2		3.28125	23	19.666666666666668	20
2018	2C	291	22.6	21.5	2.8		1.71875	30.5	43.8	191
2018	2C	294	23.8	25.3	2.7				18.5	37
2018	2C	295	18.1	18.65	2.85				17	
2018	2C	299_18								
2018	2C	34							16	
2018	2C	89							34.6	39
2018	2C	90	26.54	26.66	3.7199999999999998		0.9765625	40.5	31.1	75
2018	2D	100								
2018	2D	189	20.34	22.66	3.3		1.25	40.5	22.25	56
2018	2D	199_18					2.421875	33.5		
2018	2D	200	19.5	19.9	2.966666666666667				43.3	75
2018	2D	206	24.1	24.966666666666665	2.833333333333333				24.9	120
2018	2D	212	21.333333333333332	22.400000000000002	2.8333333333333335		1.484375	22	26.5	60
2018	2D	217_18							30.5	
2018	2D	218	26.6	25.566666666666666	3.2333333333333334		1.50390625	30	57	206
2018	2D	258								
2018	2D	265								
2018	2D	266								
2018	2D	275								
2018	2D	276								
2018	2D	279								
2018	2D	284								
2018	2D	291								
2018	2D	294								
2018	2D	295								
2018	2D	89					1.796875	22		
2018	2D	90								
2018	3A	127	25.82	30.04	3.46		2.578125	28.5	40.5	38
2018	3A	128	20.759999999999998	20.24	3.06		0.052083333333333336		39.8	91
2018	3A	135								8
2018	3A	647	16.633333333333333	19.833333333333332	2.433333333333333		0.673828125	39	28	16
2018	3A	98					0.625	25		
2018	3B	132								
2018	3B	224							46	
2018	3B	601	24	23.8	2.8				33	57
2018	3B	606							21.9	33
2018	3B	824	26.45	26	3.75				41.275	75
2018	3B	833	22.66	25.18	3.2666666666666666				33.125	38
2018	3B	877					2.421875	27.5		
2018	3C	127	27.142857142857142	20.5	4.014285714285714		1.9010416666666667	25	32	44
2018	3C	132	24.3	23.1	4		0		43.4	52
2018	3C	147	20.9	21.4	3.14		1.71875	26.5	41.25	86
2018	3C	156	26.15	25.1	3.25		1.640625	25	43.7	60
2018	3C	163	18.36	18.22	3.52		1.015625	20	49	109
2018	3C	168	23.2	24.65	3.05		0.546875	21	23.5	85
2018	3C	171	27.549999999999997	25.55	3.45		0.5859375	26	40.5	63
2018	3C	206					0.625	30		
2018	3C	265								5
2018	3C	266								22
2018	3C	284								1
2018	3C	90								11
2018	3C	94	23.65	24.85	2.9000000000000004		1.6927083333333333	31.333333333333332	40	53
2018	3C	98	26.6	29.4	2.8666666666666667		1.1458333333333333	22	49.666666666666664	47
2018	3D	127					1.640625	29		
2018	3D	235							27	
2018	3D	245								4
2018	3D	255	12.5	19	2.7				23.875	43
2018	3D	269								
2018	3D	647								
2018	3D	833					0.3125	30		
2018	3D	847	25.45	27.450000000000003	2.95		1.25	31	21	55
2018	3D	852	22.6	20.4	2.8				31.5	53
2018	3D	853	23.4	25.1	2.9		0		36.666666666666664	55
2018	3D	856	24.1	25.25	2.85		1.171875	33.5	30.5	32
2018	3D	857							17.5	
2018	3D	858	22.46	22.46	2.76		0.99609375	27.5	45	72
2018	3D	869_18								
2018	3D	874	23.7	23.099999999999998	2.966666666666667		1.015625	43	45.625	82
2018	3D	877	22.6	23.3	3.4		1.5885416666666667	27.166666666666668	48	72
2018	3D	878	24.7	23.25	3.2		1.71875	26.666666666666668	26.125	14
2018	3D	879	30	23.4	3.4		0.46875	27	24.5	26
2018	3D	884							24.625	19
2018	4A	102_18								
2018	4A	112							28.9	27
2018	4A	117	24.03333333333333	25.7	2.9		3.203125	26	17	46
2018	4A	120							26	38
2018	4A	16							18	
2018	4A	164								
2018	4A	217								4
2018	4A	45								14
2018	4A	63	26.95	26.25	3.05		1.25	36	39.6	41
2018	4A	69	25.4	26.049999999999997	2.6500000000000004		2.34375	36.5	40	65
2018	4A	70_18							14	
2018	4A	75	24.5	28	3.4		1.3020833333333333	30	34.5	33
2018	4A	76	21.73333333333333	21.53333333333333	3.2333333333333334				16.333333333333332	29
2018	4A	79_18							17	
2018	4A	83							28.7	34
2018	4A	90	27.48	21.6	2.8200000000000003		1.8359375	40	28	61
2018	4A	94	23.6	24.4	3		1.5364583333333333	32.333333333333336	19.8	60
2018	4B	160	24.4	21.7	2.8				30	
2018	4B	164							32.8	55
2018	4B	174	18.2	19	3.3				29.2	50
2018	4B	175	21.6	20.05	3		0		31	47
2018	4B	177	25.9	21.8	3				30	54
2018	4B	181	23.3	22.2	2.6500000000000004		0		31.6	47
2018	4B	183	22.6	19.6	3.5				36	43
2018	4B	185	24.9	24.5	2.8		0.13020833333333334	45	35	29
2018	4B	189	17.95	18.65	2.9				30.2	37
2018	4B	192	24.65	23.2	2.4		1.25	32.666666666666664	38.4	57
2018	4B	193							28.2	62
2018	4B	195	19.1	15.7	2.2				18.6	29
2018	4B	196	22.3	23.8	3.5		0.625	43	36.4	65
2018	4B	199	22	24.5	3.6				44.375	67
2018	4B	601								8
2018	4B	833								20
2018	4B	85	21	22.2	2.7					
2018	4C	11	25.3	26.8	3.4					
2018	4C	118					1.3541666666666667	29.666666666666668	41	113
2018	4C	119	21.85	22.049999999999997	2.15		1.1875	34.4	33.2	62
2018	4C	163								0
2018	4D	26	20.4	20.3	2.9		0		28.9	45
2018	4D	28_18								
2018	4D	29	20.633333333333333	18.966666666666665	2.8333333333333335				34.25	70
2018	4D	30_18							31	
2018	4D	31	21.52857142857143	17.757142857142856	2.9571428571428573				34	61
2018	4D	32_18							28	
2018	4D	33	22.65	23.1	2.8				26	50
2018	4D	34	23.6	26.2	3.3				31.2	48
2018	4D	35	26.2	27.75	3		0		27.6	37
2018	4D	36	23.9	22.9	2.7				32.5	24
2018	4D	38_18								
2018	4D	40							30	30
2018	4D	42_18							29	
2018	4D	44							23.5	32
2018	4D	45	20.7	24.1	3.4		0.546875	44	55.2	102
2018	4D	5							54	
2018	4D	879								4
2018	5A	108								
2018	5A	112								2
2018	5A	125							26	
2018	5A	135							18	
2018	5A	143							46	
2018	5A	151							25	
2018	5A	160							19.5	
2018	5A	167							31	
2018	5A	173	28.1	22.9	2.7		1.8359375	25.25	27	53
2018	5A	175	26.125	25.75	2.925		3.0208333333333335	29.666666666666668	48.666666666666664	47
2018	5A	176	20.366666666666667	20.766666666666666	2.6333333333333333		1.171875	29	24	86
2018	5A	18								
2018	5A	180	21.2	21.133333333333333	3.033333333333333		1.4453125	16.5	35.28	94
2018	5A	181	26.2	25.2	2.9		4.21875	27.5	33.6	90
2018	5A	182	25.8	23.6	2.4		1.953125	31	32.9	12
2018	5A	189	25.066666666666666	25.666666666666668	2.8333333333333335		3.359375	32	31	63
2018	5A	194	24.733333333333334	25	3.3333333333333335		1.015625	33.5	35.75	103
2018	5B	1_18							32	
2018	5B	14							47.166666666666664	74
2018	5B	15	18.8	21.3	2.8		1.484375	42	31.5	
2018	5B	20_18							25	
2018	5B	22	25.1	26.9	3.4		0		32	62
2018	5B	23							24.6	40
2018	5B	234								11
2018	5B	258								
2018	5B	26							24.5	
2018	5B	262								
2018	5B	281								
2018	5B	284	24.7	25.366666666666667	3.6		1.4583333333333333	12.833333333333334	30.7	52
2018	5B	292	23.6	26.1	3.1		0.20833333333333334	36.5	28.6	37
2018	5B	294	21.8	24.3	2.9				29.6	35
2018	5B	32							19.5	2
2018	5B	34							43	
2018	5B	6_18							31	
2018	5B	7							26.833333333333332	32
2018	5B	8	26.7	22.6	2.7				34.125	46
2018	5C	203_18							47	
2018	5C	205	25.1	25.4	3.1		0		39.25	47
2018	5C	206	22.3	24.9	2.8		0		18	28
2018	5C	212							13.5	
2018	5C	213	17.7	12	2.7		1.5625	31	32.25	16
2018	5C	215	25.3	23.5	3.1		2.109375	33	30.6	78
2018	5C	216	16.7	15.8	3		0.5729166666666666	31	26.5	16
2018	5C	220	25.4	24.9	3.5		1.6796875		49	101
2018	5C	221							21.333333333333332	24
2018	5C	222	25.3	25.6	2.9		1.1328125		26.8	16
2018	5C	45								
2018	5D	226					1.015625	28		
2018	5D	228	23.400000000000002	25.7	2.933333333333333		0.2734375		35.333333333333336	147
2018	5D	231	20.5	25	3				50.8	63
2018	5D	232	15.7	24.5	3.4		1.171875	34	47.9	76
2018	5D	234_18								15
2018	5D	238_18								
2018	5D	245	21.133333333333333	22.066666666666666	3.3333333333333335		0.5859375	34	38.1	66
2018	5D	258	26.4	26.8	3.5		1.23046875	22.875	46.083333333333336	116
2018	5D	260	23	23.7	2.6				26.5	
2018	5D	283	25.44	24.5	3.02		2.0572916666666665	40.5	32.4	51
2018	6A	125	20.9	20	2.7		0.3125		34	77
2018	6A	132							22	
2018	6A	133	20.5	21	2.3				19	11
2018	6A	135	23.3	26.2	2.7		0.2734375		23	33
2018	6A	143	26.4	25.4	3.2		0.390625	45	31.5	31
2018	6A	151	21.9	22.6	3.2		0.9114583333333334	39.5	25.75	52
2018	6A	160	28.6	27.2	3		0.078125		21.5	28
2018	6A	163_18								
2018	6A	166	17.3	18.7	2.8		0		30	36
2018	6A	167	21.8	23.8	2.3		0.7421875	35.5	31	
2018	6A	173								1
2018	6B	1	23.9	22.1	2.9		0.1953125		34.875	54
2018	6B	103								
2018	6B	127								1
2018	6B	20	24.6	23.8	2.4		0.546875		28.5	68
2018	6B	25	19.1	19.5	2.466666666666667		1.875	26	24	24
2018	6B	26	24	25.5	3.2		0.7421875	45	23.166666666666668	58
2018	6B	27	18.9	19.5	3.1				23.75	21
2018	6B	28	23.5	20.3	2.7		0.8333333333333334	26	32.5	56
2018	6B	29_18								1
2018	6B	32	20.8	19	3		0.9765625	32	39.5	55
2018	6B	34	19.375	20.15	2.3		0.5859375	43	41.375	142
2018	6B	6	23.1	25.6	2.9		1.25	33	39.5	71
2018	6B	632	20.3	22.9	2.7				24	7
2018	6B	654								1
2018	6B	655								1
2018	6B	678								5
2018	6C	102	23.1	22.3	2.3					21
2018	6C	103	29.8	27.2	3.4		2.1484375	44	41.666666666666664	44
2018	6C	106	23.833333333333332	27.6	3.1666666666666665		2.0703125	29.5	32.5	35
2018	6C	109	24.5	25.2	2.9		2.1875	29	26	25
2018	6C	118	26.099999999999998	23.866666666666667	3.3666666666666667				25	26
2018	6C	171								
2018	6C	175								
2018	6C	222								5
2018	6C	271	21.6	20.7	3.5				42.5	27
2018	6C	38								29
2018	6C	42								8
2018	6C	44								11
2018	6C	47								14
2018	6C	54								14
2018	6C	66								13
2018	6C	78	22.7	22.2	3.3				32.25	77
2018	6C	82	23.066666666666666	24.933333333333334	2.6999999999999997				22	28
2018	6C	87	19.666666666666668	19.933333333333334	2.1333333333333333		2.1875	27	27.25	45
2018	6C	89							10	
2018	6D	245								4
2018	6D	258								21
2018	6D	271					0.5078125	47		
2018	6D	29								11
2018	6D	31							38	
2018	6D	34								
2018	6D	38	27.466666666666665	30.5	3.333333333333333		1.6796875	23.5	38	38
2018	6D	40_18							54	
2018	6D	42							26	34
2018	6D	43							24	22
2018	6D	44	25	24.1	3.3		1.93359375	39.25	37.8	76
2018	6D	45							25.6	56
2018	6D	46_18								
2018	6D	47	25.166666666666668	23.633333333333333	2.6666666666666665		1.484375	37.5	41.5	55
2018	6D	51	23.1	21.3	3		0		27	27
2018	6D	54	23.900000000000002	24.8	3.533333333333333		2.109375	28.75	41.5	82
2018	6D	55	25.9	24	2.6		0.703125	20	32.25	21
2018	6D	66	20.25	24.6	2.95		0		30.25	29
2019	1A	236	27.366666666666667	29.3	3.933333333333333	1.8333333333333333	2.5520833333333335	20.75	47.5	79
2019	1A	239	26.333333333333332	24.666666666666668	3.6	1.3333333333333335	4.895833333333333	22.333333333333332	34.25	47
2019	1A	246	25.5	28.85	3.05	1.55	2.3697916666666665	24.166666666666668	49.833333333333336	83
2019	1A	258					0.234375	26.5	31	
2019	1A	259	28	31.3	3.3	1.2999999999999998	3.046875	22.25	58	53
2019	1B	284							56.5	
2019	1B	648	27.45	28.4	3.4	1.45	2.578125	19	38	36
2019	1B	657	25.75	30.75	3.7	1.35	2.0572916666666665	25	50.5	29
2019	1B	670	28.6	29.5	3.35	1.25	4.0234375	22.5	41	56
2019	1B	684	26.033333333333335	25.733333333333334	3.566666666666667	1.7666666666666666	1.875	26.333333333333332	59.6	67
2019	1B	687								
2019	1C	29_19							33.5	
2019	1C	35								
2019	1C	43	22.333333333333332	23.033333333333335	4	1.5666666666666667	2.03125	27	57.666666666666664	147
2019	1C	47	23.5	27.733333333333334	3.6666666666666665	1.3333333333333333	1.8489583333333333	28.833333333333332	46.93333333333333	57.5
2019	1C	49_19							49	
2019	1C	65							40	
2019	1C	72	24.05	27.6	3.55	1.4	0.8203125	32.5	40.733333333333334	
2019	1D	19	25.65	23.4	4.1	1.2999999999999998	2.2265625	20.25	42.35	74
2019	1D	34	28.700000000000003	24.950000000000003	3.75	1.75	3.1640625	22.75	42.5	62
2019	1D	5	27.9	25.049999999999997	3.3	1.55	1.25	23.5	45.05	47
2019	2A	138								51
2019	2A	158					3.203125	22	48	
2019	2A	165							37	
2019	2A	166					3.28125	23	54	30
2019	2A	678								2
2019	2A	679	25.25	26.35	3.45	1.65	1.4453125	23.5	51	51
2019	2A	686	25	25.7	2.5999999999999996	1.5499999999999998	2.6041666666666665	23.5	42.75	23
2019	2B	11					3.828125	26		
2019	2B	130	24.6	26.15	3.6	1.9	2.8385416666666665	21.5	66	31
2019	2B	177	23.450000000000003	25	2.45	1.6	1.40625	24.75	43.5	46
2019	2B	200	27.3	28.35	3.3499999999999996	1.35	2.3828125	21.25	45.5	72
2019	2B	201	26.45	27.35	3.6	1.65	3.5416666666666665	21.166666666666668	69.25	73
2019	2B	202	22	24.8	3.7	1.1	3.59375	19.5	35	73
2019	2B	84	24.3	23.75	3.3499999999999996	1.7	1.40625	24	44.75	90
2019	2B	87					2.109375	22.5	36	
2019	2B	92	27.4	26.450000000000003	3.35	1.8	0.859375	25	51.75	121
2019	2B	99	26.2	29.700000000000003	3.3499999999999996	1.7999999999999998	3.828125	25.75	57.5	92
2019	2C	109								18
2019	2C	2								4
2019	2C	202	23.9	23.5	3.333333333333333	1.7333333333333334	2.1614583333333335	17.666666666666668	34	61
2019	2C	266_19							30	
2019	2C	268	25.666666666666668	25.6	3.2	1.4	1.8489583333333333	23	48	48
2019	2C	272_19							40	
2019	2C	277	23.25	24.45	2.65	1.6	1.953125	18.5	24.5	18
2019	2C	282	27.9	25.65	3.6	0.9				13
2019	2C	285	24	25.5	3.1	1.7	3.0208333333333335	27.833333333333332	52	35
2019	2C	286	23.75	27.35	3.75	1.6	2.421875	21	38	58
2019	2C	288	23.1	25.9	3.7	1.4	2.2265625	22.5	53	46
2019	2C	298	25.8	28.2	3.25	1.35	1.2109375	22.75	33	80
2019	2C	300	24.375	28.175	3.05	1.3375	3.1770833333333335	26	44	7
2019	2C	85								4
2019	2D	205	29	28.5	3.75	1.5	4.4140625	23.5	56.5	38
2019	2D	209	27.7	29.25	3.9	1.45	2.96875	19	57	100
2019	2D	211	23.733333333333334	28	4.533333333333333	1.6666666666666667	3.671875	25.5	62.5	73
2019	2D	212	23.85	25.299999999999997	3.55	1.4500000000000002	2.5	19.75	47.5	61
2019	2D	213					1.953125	21	46	35
2019	2D	217	22.2	20.85	3.0999999999999996	1.4500000000000002	1.953125	23		44
2019	2D	221	23	25.75	3.5	1.7	2.265625	26.5	44.5	48
2019	2D	222	24.3	25.299999999999997	3.6	1.1	2.0703125	29.25	46.5	61
2019	2D	225	29.5	28.26666666666667	3.4	1.2333333333333334	1.9140625	12.5	46	93
2019	2D	256	24.3	27.5	3.5	1.4	1.6796875	19	60	41.333333333333336
2019	2D	257	29.2	27.95	3.45	1.15	4.8046875	21.5	42.75	96
2019	2D	258	25.8	26.75	3.65	1.5	1.953125	18.333333333333332		66
2019	2D	258_19							35	
2019	2D	277					1.09375	27.5		
2019	3A	120	26.25	24.85	3.25	1.4	0.7421875	20.5	43	69
2019	3A	212								
2019	3A	272					2.2265625	21	33	20
2019	3A	274					0.7421875	23.25	35	39
2019	3A	275_19								
2019	3A	276	25.6	24.1	3.6	0.95	1.9140625	20	35	20.5
2019	3A	605							38.5	
2019	3A	635							35.5	
2019	3A	642	24.049999999999997	25.950000000000003	3.15	1.85	2.9296875	24.5	49.5	58
2019	3A	647								
2019	3A	657_19								
2019	3A	659	24.1	27.8	4.1	1.1	2.0703125	27.75	54	77
2019	3B	60							51	
2019	3B	605	27	21.7	3.5	1.1	1.015625	23.5	35	58
2019	3B	611							40.5	
2019	3B	624							28.75	
2019	3B	686	26.1	23.35	3.5	1.9500000000000002	3.828125	26.5	52.5	44
2019	3B	687							49.166666666666664	
2019	3B	823					4.84375	22.5	51.5	65
2019	3C	113							36	
2019	3C	122							33	20
2019	3C	130							47.666666666666664	
2019	3C	131	27	28.5	4.15	1.1			41	16
2019	3C	138							34	
2019	3C	140	25	25.7	3.7	1.1	2.5390625	22	44	95
2019	3C	141								18
2019	3C	142	27.25	26.1	4.05	1.2999999999999998	1.171875	26.5	41.75	26
2019	3C	143							35	
2019	3C	146	24.3	25.85	3.9	1.1	2.34375	23	47.5	61
2019	3C	148	26.45	28.25	3.8	1.2	0.78125	31.5	42.25	28
2019	3C	149	26.7	28.25	4.1	1.5	6.40625	21.5	51.666666666666664	59
2019	3C	150	27.7	27.700000000000003	3.1	1.5499999999999998	1.5494791666666667	23.333333333333332	45	88
2019	3C	151	26.549999999999997	28.3	3.2	1.6	2.5	29	46	46
2019	3C	161	30.5	28.7	2.65	1.15	2.734375	17.333333333333332	57.5	58
2019	3C	164								0
2019	3C	167	23	20.6	3.3499999999999996	1	1.9140625	21	52.333333333333336	56
2019	3C	169_19							36.5	
2019	3C	172	26.9	25.95	3.6	1.65	1.875	24.75	42.5	47
2019	3C	173_19							32.25	
2019	3C	175							3	
2019	3C	179	26.25	25.799999999999997	3.1	1.45	2.5390625	19	31.5	27
2019	3C	182	25.950000000000003	24.65	3.45	1.7	3.9453125	23.5	45	46
2019	3C	183	24.95	24.5	2.45	1.15	2.9296875	18.5	52.25	83
2019	3C	184	23.2	21.7	2.8	1.35	3.1640625	20.75	49	61
2019	3C	185							50.25	
2019	3C	211							56	
2019	3C	223							40	
2019	3C	82							42	
2019	3C	883							44	
2019	3D	882_19	23.4	24.8	4	1.6				61
2019	3D	883_19								
2019	3D	896	24.05	25.75	3.3	1.45	0.7291666666666666	33.5		45
2019	4A	115_19							21	
2019	4A	123	23.2	23.166666666666668	4	1.4333333333333333	0.625	22	38	44
2019	4A	124	27.95	27.450000000000003		1.4	1.4453125	20.25	21	10
2019	4A	156								0
2019	4A	168	23.1	22.200000000000003		1.55	0.5078125	24	18	26
2019	4A	423							39	
2019	4A	68_19	25.35	24.1	3.15	1.65				
2019	4A	89	23.466666666666665	26.333333333333332	3.933333333333333	1.5	2.0703125	29	32.6	46
2019	4B	168	20.433333333333334	22.4	3.45	1.5999999999999999	1.03515625	28	36.4	26
2019	4B	173	27.099999999999998	27.233333333333334	3.8499999999999996	1.8333333333333333	0.91796875		35	63
2019	4C	100							50	
2019	4C	109	23.366666666666667	20.433333333333334	3.4	1.4333333333333333	0.15625	18	37.6	22
2019	4C	111	25.75	23.85	4.05	1.35	0.9375	22.5		22
2019	4C	113_19								
2019	4C	114							37.5	
2019	4C	115	23.85	24.45	3.4	1.65	0.8984375	34.75		51
2019	4C	123_19	25	25.5	2.5	1				
2019	4C	168							37.5	
2019	4C	173							39	
2019	4C	175							23	
2019	4C	199	26.833333333333332	26.666666666666664	3.5	1.4000000000000001	3.671875	23	38.5	25
2019	4C	35							8	
2019	4C	36	24.450000000000003	27		1.6	0.3515625	27.75	28	42
2019	4C	638								
2019	4C	643								152
2019	4D	109							39.5	
2019	4D	199							41	
2019	4D	35	25.45	27.4	3.25	1.6	1.7708333333333333	26.166666666666668	36	33
2019	4D	38_19							29	
2019	4D	43	25.6	25.1	3.85	1.85	1.484375	39	54.15	40
2019	4D	46	23.25	24.200000000000003	3.55	1.75	0.3515625	24.5	39	59
2019	4D	53	24.6	21.4	3.4	1.35	2.578125	19	24	8
2019	4D	54	23.75	26.5	3.7	1.5	1.40625	27		9
2019	4D	58	23.6	24.2	3.6	1.25	1.9921875	24.25	30	33
